23/07 09:02:18:726 Command Routing started
23/07 09:02:18:790 Starting process session
23/07 15:05:19:385 Command Routing started
23/07 15:05:19:498 Starting process session
23/07 15:11:49:921 Command Routing started
23/07 15:11:49:962 Starting process session
23/07 15:13:10:231 Command Routing started
23/07 15:13:10:293 Starting process session
23/07 15:13:40:565 Command Routing started
23/07 15:13:40:601 Starting process session
23/07 15:14:21:591 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:592 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:593 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:596 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:597 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:598 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:599 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:600 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:601 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:602 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:633 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:634 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:635 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:636 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:637 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:638 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:639 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:640 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:641 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:682 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:683 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:684 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:685 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:686 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:687 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:688 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:689 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:690 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:691 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:692 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:693 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:694 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:695 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:696 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:697 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:738 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:739 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:740 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:741 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:742 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:745 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:748 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:749 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:750 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:753 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:784 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:785 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:786 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:787 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:788 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:789 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:790 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:791 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:792 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:793 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:794 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:795 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:796 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:797 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:798 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:799 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:840 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:841 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:842 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:843 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:844 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:845 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:846 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:847 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:848 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:849 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:881 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:882 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:883 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:884 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:885 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:886 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:887 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:888 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:889 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:890 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:891 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:892 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:893 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:894 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:895 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:897 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:952 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:954 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:956 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:957 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:958 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:959 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:960 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:961 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:962 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:963 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:984 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:985 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:986 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:987 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:988 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:989 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:990 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:991 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:992 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:993 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:994 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:995 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:996 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:997 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:998 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:999 84967289993: VT8X26 - VT8X26.SENDSMS
